id_sensor | valor | tipo | timestamp
2 | 57.14 | CO2 | 2025-01-15 15:54:36
2 | 57.22 | CO2 | 2025-01-15 15:54:42
2 | 57.3 | CO2 | 2025-01-15 15:54:48
2 | 57.09 | CO2 | 2025-01-15 15:54:54
2 | 57.0 | CO2 | 2025-01-15 15:55:00
2 | 57.09 | CO2 | 2025-01-15 15:55:06
2 | 57.2 | CO2 | 2025-01-15 15:55:13
2 | 57.32 | CO2 | 2025-01-15 15:55:19
2 | 57.19 | CO2 | 2025-01-15 15:55:25
2 | 57.0 | CO2 | 2025-01-15 15:55:31
2 | 57.08 | CO2 | 2025-01-15 15:55:37
2 | 56.81 | CO2 | 2025-01-15 15:55:43
2 | 57.24 | CO2 | 2025-01-15 15:55:49
2 | 57.35 | CO2 | 2025-01-15 15:55:55
2 | 57.24 | CO2 | 2025-01-15 15:56:01
2 | 57.09 | CO2 | 2025-01-15 15:56:08
2 | 57.28 | CO2 | 2025-01-15 15:56:14
2 | 57.1 | CO2 | 2025-01-15 15:56:20
2 | 57.09 | CO2 | 2025-01-15 15:56:26
2 | 57.16 | CO2 | 2025-01-15 15:56:32
2 | 57.21 | CO2 | 2025-01-15 15:56:38
2 | 57.28 | CO2 | 2025-01-15 15:56:44
2 | 57.33 | CO2 | 2025-01-15 15:56:50
2 | 57.28 | CO2 | 2025-01-15 15:56:57
2 | 57.62 | CO2 | 2025-01-15 15:57:03
2 | 57.09 | CO2 | 2025-01-15 15:57:09
2 | 56.99 | CO2 | 2025-01-15 15:57:15
2 | 57.48 | CO2 | 2025-01-15 15:57:21
2 | 57.09 | CO2 | 2025-01-15 15:57:27
2 | 56.99 | CO2 | 2025-01-15 15:57:33
2 | 57.29 | CO2 | 2025-01-15 15:57:39
2 | 57.24 | CO2 | 2025-01-15 15:57:45
2 | 57.25 | CO2 | 2025-01-15 15:57:51
2 | 57.32 | CO2 | 2025-01-15 15:57:58
2 | 57.25 | CO2 | 2025-01-15 15:58:04
2 | 57.23 | CO2 | 2025-01-15 15:58:10
2 | 57.09 | CO2 | 2025-01-15 15:58:16
2 | 57.03 | CO2 | 2025-01-15 15:58:22
2 | 57.21 | CO2 | 2025-01-15 15:58:28
2 | 57.08 | CO2 | 2025-01-15 15:58:35
2 | 56.96 | CO2 | 2025-01-15 15:58:41
2 | 57.09 | CO2 | 2025-01-15 15:58:47
2 | 57.06 | CO2 | 2025-01-15 15:58:53
2 | 57.41 | CO2 | 2025-01-15 15:58:59
2 | 57.24 | CO2 | 2025-01-15 15:59:06
2 | 57.12 | CO2 | 2025-01-15 15:59:24
2 | 57.2 | CO2 | 2025-01-15 15:59:31
2 | 56.71 | CO2 | 2025-01-15 15:59:37
2 | 57.24 | CO2 | 2025-01-15 15:59:43
2 | 57.24 | CO2 | 2025-01-15 15:59:49
2 | 57.13 | CO2 | 2025-01-15 15:59:56
2 | 57.2 | CO2 | 2025-01-15 16:00:03
2 | 56.96 | CO2 | 2025-01-15 16:00:09
2 | 57.24 | CO2 | 2025-01-15 16:00:16
2 | 57.11 | CO2 | 2025-01-15 16:00:22
2 | 57.08 | CO2 | 2025-01-15 16:00:28
2 | 56.95 | CO2 | 2025-01-15 16:00:34
2 | 57.31 | CO2 | 2025-01-15 16:00:40
2 | 57.18 | CO2 | 2025-01-15 16:00:46
2 | 56.67 | CO2 | 2025-01-15 16:00:53
2 | 57.3 | CO2 | 2025-01-15 16:00:59
2 | 57.0 | CO2 | 2025-01-15 16:01:05
2 | 57.19 | CO2 | 2025-01-15 16:01:11
2 | 57.23 | CO2 | 2025-01-15 16:01:18
2 | 57.08 | CO2 | 2025-01-15 16:01:24
2 | 57.14 | CO2 | 2025-01-15 16:01:30
2 | 57.12 | CO2 | 2025-01-15 16:01:36
2 | 57.19 | CO2 | 2025-01-15 16:01:43
